2021-05-04;1;2;76;70, 69
2021-05-05;2;1;73, 66;66
2021-05-06;2;3;66, 46;71, 83, '3'
2021-05-07;0;2;;80, 87
2021-05-08;2;2;84, 70;80, 68
2021-05-09;2;0;81, 82;
2021-05-10;2;2;73, 75;71, 78
2021-05-11;1;2;72;68, 69
2021-05-12;4;1;62, 70, 79, 83;66
2021-05-13;2;2;67, 71;63, 78
2021-05-14;2;2;63, 77;65, 66
2021-05-15;2;1;83, 85;69
2021-05-16;2;2;52, 75;80, 84
2021-05-17;2;2;65, 69;71, 90
2021-05-18;3;2;44, 70, 81;79, 84
2021-05-19;2;1;71, 73;80
2021-05-20;1;2;93;72, 74
2021-05-21;2;2;55, 73;54, 70
2021-05-22;2;3;67, 75;67, 74, 88
2021-05-23;1;3;59;63, 69, 72
2021-05-24;1;3;82;53, 79, 82
2021-05-25;1;4;39;67, 70, 76, 89
2021-05-26;1;2;55;70, 73
2021-05-27;4;0;57, 73, 82, 90;
2021-05-28;3;1;60, 69, 82;83
2021-05-29;2;1;71, 82;82
2021-05-30;3;2;48, 78, 85;70, 84
2021-05-31;1;3;59;72, 83, 85
2021-06-01;2;1;73, 65;65
2021-06-02;4;1;54, 61, 72, 80;84
2021-06-03;3;2;68, 70, 94;69, 84
2021-06-04;2;2;81, 85;81, 88
2021-06-05;1;2;60;80, 95
2021-06-06;3;1;74, 77, 81;78
2021-06-07;1;2;70;74, 83
2021-06-08;1;2;66;73, 78
2021-06-09;2;2;28, 70;69, 79
2021-06-10;2;3;53, 63;79, 82, 89
2021-06-11;1;2;90;64, 74
2021-06-12;3;1;69, 70, 90;83
2021-06-13;3;2;66, 76, 82;70, 76
2021-06-14;3;2;63, 69, 87;78, 79
2021-06-15;4;2;54, 61, 65, 91;68, 82
2021-06-16;2;3;66, 77;64, 71, 73
2021-06-17;3;3;55, 80, 84;72, 82, 84
2021-06-18;3;4;63, 71, 73;66, 68, 89, 89
2021-06-19;5;3;70, 72, 74, 84, 86;51, 88, 91
2021-06-20;4;1;60, 67, 71, 77;64
2021-06-21;7;0;60, 63, 68, 70, 74, 79, 81;
2021-06-22;5;4;57, 76, 82, 87, 89;73, 84, 85, 90
2021-06-22;5;4;57, 76, 82, 87, 89;73, 84, 85, 90
2021-06-23;4;4;47, 60, 67, 80;71, 80, 83, 89
2021-06-24;2;3;70, '2';64, 81, 84
2021-06-25;6;3;44, 64, 67, 79, 81, '2';79, 73, 74
2021-06-26;2;4;54, 75;42, 61, 67, 71
2021-06-27;4;3;64, 69, 71, 92;80, 81, 91
2021-06-28;1;8;88;50, 63, 64, 76, 79, 81, 83, 83
2021-06-29;4;3;80, 82, 85, 93;70, 82, 84
2021-06-30;4;7;46, 65, 68, 71;40, 47, 69, 70, 72, 83, 85
2021-07-01;4;5;75, 81, 81, 90;65, 80, 82, 84, 84
2021-07-02;3;4;67, 69, 71;64, 74, 71, 83
2021-07-03;3;3;73, 74, 78;34, 73, 92
2021-07-04;3;7;70, 73, 80;56, 75, 81, 81, 83, 91, 93
2021-07-05;4;1;64, 71, 73, 95;68
2021-07-06;6;2;27, 64, 73, 76, 81, 84;80, 83
2021-07-09;3;3;70, '2', 66;82, '2', 78
2021-07-10;4;3;49, 60, 72, 80;68, 79, 85
2021-07-11;5;3;68, 71, 71, 71, 75;65, 68, 82
2021-07-12;5;4;73, 83, 83, 86, 92;80, 82, 84, 86
2021-07-13;5;6;70, 71, 75, 79, 81;54, 65, 68, 84, 88, 93
2021-07-14;1;3;65;88, '2', 89
2021-07-15;3;2;68, '2', 69;69, 87
2021-07-16;3;5;52, 67, 85;61, 64, 71, 83, 88
2021-07-17;4;3;58, 59, 64, 86;45, 62, 80
2021-07-18;4;5;73, 79, 87, 89;50, 66, 69, 79, 85
2021-07-19;3;3;67, 74, 74;68, 69, 75
2021-07-20;5;4;38, 48, 57, 72, 74;71, 74, 76, 78
2021-07-21;6;5;43, 57, 60, 66, 69, 72;50, 56, 59, 69, 87
2021-07-22;2;1;72, 76;69
2021-07-23;5;4;65, 69, 72, 80, 86;67, 69, 76, 81
2021-07-24;7;5;67, 68, 69, 69, 79, 80, 83;40, 69, 79, 79, 87
2021-07-25;3;5;63, 71, 76;47, 50, 58, 59, 89
2021-07-26;4;5;63, 63, 66, 77;33, 67, 78, 79, 83
2021-07-27;3;7;54, 69, 83;62, 63, 72, 78, 80, 83, 86
2021-07-28;4;7;61, 69, 71, 83;60, 61, 65, 66, 82, 84, 87
2021-07-29;5;5;64, 71, 71, 73, 83;65, 66, 67, 83, 88
2021-07-30;2;2;71, 74;66, 67
2021-07-31;3;8;69, 69, 72;56, 65, 71, 71, 72, 72, 74, 94
2021-08-01;2;6;56, 66;58, 70, 71, 74, 74, 80
2021-08-02;4;6;35, 64, 66, 73;59, 71, 72, 79, 81, 86
2021-08-02;4;6;35, 64, 66, 73;59, 71, 72, 79, 81, 86
2021-08-02;4;6;35, 64, 66, 73;59, 71, 72, 79, 81, 86
2021-08-03;1;1;80;94
2021-08-04;4;8;51, 69, 74, 74;48, 59, 69, 70, 83, 84, 90, 92
2021-08-05;2;6;64, 63;64, 66, 80, 82, 89, 91
2021-08-06;7;4;36, 63, 64, 67, 72, 82, 83;65, 71, 81, 87
2021-08-07;3;6;62, 69, 77;61, 61, 70, 71, 73, 86
2021-08-09;1;3;45;83, '2', 75
2021-08-10;1;4;79;80, 84, '3', 81
2021-08-11;2;2;79, 82;82, 84
2021-08-12;3;2;79, '2', 71;81, 94
2021-08-13;2;2;62, 73;83, 94
2021-08-14;1;3;82;91, '2', 82
2021-08-15;1;1;73;82
2021-08-16;3;2;79, '2', 67;71, 88
2021-08-13;2;2;62, 73;83, 94
2021-08-14;1;3;82;91, '2', 82
2021-08-15;1;1;73;82
2021-08-16;3;2;79, '2', 67;71, 88
2021-08-17;3;2;89, '2', 64;79, 85
2021-08-18;2;3;63, 98;85, '2', 63
2021-08-19;2;2;63, 68;85, 87
2021-08-20;2;2;82, 86;81, 84
2021-08-21;2;5;49, 84;90, '2', 80, '2', 83
2021-08-22;1;3;88;58, '2', 86
2021-08-23;2;2;81, 88;82, 88
2021-08-24;3;3;81, '2', 70;68, '2', 60
2021-08-25;9;2;58, 59, 67, 68, 68, 70, 75, 83, 2;83, 91
2021-08-26;6;5;40, 62, 67, 82, 85, 87;47, 64, 74, 77, 85
2021-08-27;4;5;44, 55, 65, 66;59, 66, 69, 75, 81
2021-08-28;6;5;56, 65, 73, 74, 75, 85;43, 50, 60, 66, 75
2021-08-29;4;5;66, 71, 82, 85;68, 68, 69, 80, 81
2021-08-30;3;5;27, 64, 76;57, 61, 62, 62, 82
2021-08-31;2;11;69, 82;60, 64, 69, 75, 76, 78, 80, 81, 82, 82, 88
2021-09-07;2;7;89, '3';69, '2', 70, 66, 85, 86, 91
2021-09-08;2;7;61, 68;48, 67, 70, 71, 78, 82, 89
2021-09-09;3;2;77, '2', 64;70, 84
2021-09-10;5;8;48, 74, 80, 81, 82;45, 59, 67, 70, 77, 79, 80, 85
2021-09-11;0;8;;48, 57, 74, 75, 82, 91, '3', 83
2021-09-12;2;8;71, 74;64, 67, 68, 70, 73, 75, 79, 82
2021-09-13;3;9;54, 57, 62;35, 52, 59, 61, 68, 70, 73, 76, 83
2021-09-14;2;2;60, 83;81, 88
2021-09-15;2;3;49, 73;87, '2', 57
2021-09-16;7;6;61, 62, 63, 64, 71, 80, 83;47, 61, 64, 65, 81, 90
2021-09-17;6;5;50, 62, 65, 65, 70, 82;49, 65, 68, 68, 77
2021-09-21;2;2;67, 70;76, 82
2021-09-22;8;5;57, 58, 59, 67, 80, 82, 85, 91;38, 52, 53, 76, 82
2021-09-23;3;8;74, 79, 86;53, 57, 61, 67, 67, 71, 84, 86
2021-09-24;3;3;69, '2', 79;86, '2', 84
2021-09-25;5;7;38, 40, 55, 62, 77;35, 73, 80, 87, 87, 89, 90
2021-09-26;4;7;69, 70, 73, 87;44, 55, 62, 64, 71, 79, 82
2021-09-27;2;11;54, 64;41, 45, 54, 64, 65, 69, 73, 74, 77, 84, 97
2021-09-28;3;8;62, 66, 67;47, 61, 67, 70, 73, 76, 90, 93
2021-09-29;2;9;33, 83;61, 62, 69, 71, 74, '3', 65, '3', 75
2021-09-30;3;7;58, 59, 89;58, 61, 62, 66, 68, 69, 79
2021-10-01;7;5;59, 61, 62, 74, 83, 91, '2';92, 75, 82, 86, 96
2021-10-02;10;3;42, 62, 65, 68, 70, 70, 79, 82, 82, 87;72, 81, 81
2021-10-03;5;6;46, 55, 75, 81, 89;55, 62, 65, 65, 67, 86
2021-10-07;8;6;49, 54, 60, 69, 73, 75, 83, 0;65, 69, 71, 74, 79, 84
2021-10-08;7;5;61, 65, 69, 69, 74, 80, 81;70, 82, 82, 84, 84
2021-10-09;7;8;51, 60, 63, 68, 68, 69, 71;60, 60, 61, 62, 63, 71, 87, 90
2021-10-10;8;4;39, 44, 46, 65, 68, 83, 83, 85;51, 62, 65, 70
2021-10-11;6;9;47, 66, 67, 75, 84, 95;54, 64, 68, 74, 80, 82, 82, 84, 85
2021-10-12;7;6;55, 58, 64, 67, 70, 72, 74;43, 54, 73, 73, 77, 87
2021-10-13;4;5;65, 70, 70, 82;67, 68, 71, 86, 87
2021-10-14;2;11;62, 77;45, 49, 61, 63, 64, 72, 73, 75, 84, 87, 91
